AppID;Name;Release date;Estimated owners;Peak CCU;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Metacritic score;Positive;Negative;Achievements;Recommendations;Notes;Average playtime forever;Developers;Tags
1457150;Leafling;15.12.2020;200000 - 500000;4;0;0;0;['English'];http://leaflingonline.com;1;0;0;0;428;175;0;0;;0;Celtaria Productions;JRPG,MMORPG,Hack and Slash,Dungeon Crawler,RPG,Action RPG,2D,Action,Top-Down,Pixel Graphics,Fantasy,Magic,Medieval,Massively Multiplayer,Co-op,Free to Play,Multiplayer,Online Co-Op,Adventure,Early Access
1129660;Runefall 2;10.10.2019;0 - 20000;0;0;9.99;0;['English'];;1;1;1;0;35;10;57;0;;0;Playcademy;Casual,Match 3
1550750;Siren Head Hentai Edition;04.06.2021;0 - 20000;0;0;0.49;0;['English'];http://project3190996.tilda.ws/;1;0;0;0;0;0;0;0;This game contains beautiful hentai drawings and a creepy mysterious monster.;0;Sweet Games;
1787520;Resonance Wars;11.11.2021;0 - 20000;0;0;2.99;0;['English'];https://www.teatimestrategy.com/;1;0;0;0;2;0;7;0;;0;TeatimeStrategy;RPG,Exploration,Casual,Dungeon Crawler,JRPG,2D,Story Rich,Pixel Graphics,Indie,Medieval,Strategy,Adventure,Singleplayer
292180;X-Plane 10 Global - 64 Bit;14.07.2014;100000 - 200000;1;0;0;31;['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Portuguese', 'Portuguese - Brazil', 'Russian'];http://www.x-plane.com;1;1;1;0;713;304;0;934;;16;Laminar Research;Simulation,Flight,Realistic,Open World,Multiplayer,Adventure,Free to Play,Singleplayer,Moddable,First-Person,Jet,TrackIR
1095140;PrimeOrbial;16.07.2019;0 - 20000;0;0;4.99;0;['English'];http://rainbowverse.com;1;0;0;0;4;0;0;0;;0;RainbowVerse, LLC;Indie,Action,Early Access,Adventure,Simulation,Casual,3D Platformer
973410;The Elementalist;27.05.2019;0 - 20000;0;0;4.99;0;['English'];http://www.the-elementalist.com;1;1;1;0;9;0;15;0;;0;Zack Radick;Indie,Action,Adventure,RPG
1564660;Bongo Arena;15.03.2021;0 - 20000;0;0;0;0;['English', 'Simplified Chinese'];;1;1;0;0;6;1;2;0;;0;Da Bongo Studio;Strategy,Turn-Based Strategy,Turn-Based Tactics,3D,Fantasy,Singleplayer,Early Access,Artificial Intelligence,Indie
1563100;Nightmare Survival;12.03.2021;0 - 20000;0;0;0.99;0;['English'];;1;0;0;0;5;3;0;0;;0;INFINITE BRIDGE;Action,Arcade,Shooter,Top-Down Shooter,Action RTS,3D,Cute,Colorful,Survival,Dark,Indie,Horror,Psychological Horror,Survival Horror,PvE,Artificial Intelligence,Singleplayer
1853200;TYRONE vs COPS;12.02.2022;20000 - 50000;4;0;0.99;1;['English'];;1;0;1;0;816;39;18;704;TW: police, drugs, violence, firearms, blood, loud noises, rap music, feds.;84;Team SNEED;America,Action,Memes,Dark Comedy,Satire,Dark Humor,Comedy,Arcade,Short,Parody,Third-Person Shooter,Shooter,Funny,3D,Third Person,Combat,Singleplayer,God Game,Hero Shooter,Gore
1953220;Gem Tower Defense 2;21.04.2022;20000 - 50000;1;0;2.99;0;['English', 'Simplified Chinese', 'Traditional Chinese'];;1;0;0;0;2;2;0;0;;0;Ranger Game;Strategy,Tower Defense,Board Game,Dungeon Crawler,Auto Battler,Casual,Turn-Based Tactics,Rogue-lite,3D,3D Vision,Top-Down,Pixel Graphics,Cartoon,Cartoony,Minimalist,Stylized,Fantasy,Mystery,Tactical,Detective
1094250;It Stares Back;25.06.2019;0 - 20000;0;0;9.99;0;['English'];http://lightarcstudio.com/;1;0;0;0;83;2;0;0;This game contains depictions of fantasy violence, shocking/flashing imagery, animated blood, as well as alcohol and tobacco references. I think it will thrill you. It may shock you. It might even horrify you. So if any of you feel that you do not care to subject your nerves to such a strain, now is your chance to... well, we warned you. -Edward Van Sloan (Frankenstein 1931);0;Light Arc Studio Ltd;Strategy,Action,Indie,RPG,Adventure,Early Access,RTS,Hex Grid,Surreal,Lovecraftian,Isometric,Dark Fantasy,Tactical,Fast-Paced,Visual Novel,Transhumanism,Horror,Satire,Dynamic Narration,Tactical RPG
1979720;Bound By Blades Playtest;12.05.2022;0 - 0;0;0;0;0;[];;1;0;0;0;0;0;0;0;;0;;
536660;JCB Pioneer: Mars;01.09.2017;0 - 20000;0;0;24.99;0;['English'];https://www.jcbpioneer.com/;1;0;0;0;66;77;0;121;;0;Atomicom;Early Access,Simulation,Action,Adventure,Indie,Building,Survival,Exploration,Open World,Mars,Space
362920;Atlantis 2: Beyond Atlantis;17.04.2015;0 - 20000;1;0;3.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain'];;1;1;0;0;25;55;0;0;;0;Cryo Interactive,Koalabs;Adventure,Point & Click
1113940;Electronic Super Joy 2;09.08.2019;50000 - 100000;2;0;0;2;['English'];http://www.electronicsuperjoy.com/;1;1;1;0;587;79;11;0;Checkpoints play graphic moans when captured. This can be turned off in the options. Also, some characters swear. This can also be turned off in the options.;189;Michael Todd Games;Indie,Difficult,Platformer,Free to Play,Great Soundtrack,Music,2D,Pixel Graphics,Singleplayer,Retro,Action,Side Scroller,Soundtrack
915760;Aether Drift;27.08.2018;0 - 20000;0;0;12.99;0;['English'];https://www.toxicsasquatch.com/aether-drift;1;0;0;0;3;0;0;0;;0;Toxic Sasquatch Games;Action,Indie,Arcade,Fighting,Great Soundtrack,Multiplayer,Singleplayer,Shoot 'Em Up,Bullet Hell,2D Fighter,Rogue-like
1682030;Dire Vengeance;14.10.2021;20000 - 50000;0;0;19.99;0;['English'];http://www.magicshotgames.com/dire-vengeance.html;1;0;0;0;11;0;92;0;;0;Magic Shot Games;2D Platformer,Action-Adventure,Arcade,Hack and Slash,Retro,Lovecraftian,Controller,Side Scroller,Colorful,Atmospheric,Hand-drawn,1990's,Dark Fantasy,Demons,Fantasy,Horror,Old School,Magic,Medieval,Mythology
416840;Color By;21.01.2016;0 - 20000;0;0;9.99;1;['English'];http://polykromagames.com/#/ColorBy;1;1;1;0;5;1;13;0;;0;Team Polykroma;Indie,Puzzle,Puzzle-Platformer,2D,Great Soundtrack,Colorful,Family Friendly
529130;Expect The Unexpected;08.12.2016;0 - 20000;1;0;1.49;0;['English'];http://www.goldengodgames.com/etu/;1;1;1;0;53;27;33;0;;31;GoldenGod Games;RPG,Strategy,Casual,Indie,Rogue-like,Fantasy,Turn-Based Strategy,Survival,Turn-Based Combat,Action RPG,Turn-Based
1730670;A Day in the Park;07.09.2021;0 - 20000;0;0;4.99;0;['English'];;1;1;1;0;0;0;0;0;The following game is intended for mature audiences only (18+ or the legal age in your country, whichever is older). This game contains frequent nudity as well as audio, textual and visual representations of oral and anal sex between men. There is also alcohol use and urination (not on anyone).;0;Deevilj;
1535270;Vacation Adventures: Park Ranger 4;15.02.2021;0 - 20000;0;0;6.99;0;['English'];http://casual-arts.com/va_parkRanger4/va_parkRanger4.shtm;1;0;0;0;2;1;0;0;;0;Casual Arts;Casual,Point & Click,Puzzle,Hidden Object,Family Friendly,Nature,Singleplayer
